peers,enable_dp,enable_chunking,condition,mean_accuracy,std_accuracy_across_seeds,mean_node_std_accuracy,mean_auc,std_auc_across_seeds,mean_node_std_auc,n_seeds
10,0,0,"No DP, no chunk (baseline)",0.356612,0.003999464964217117,0.05742565660838276,0.9969928125,0.0013507781322260478,0.004738600805497007,5
25,0,0,"No DP, no chunk (baseline)",0.40553999999999996,0.006258438782955357,0.09034319200538224,0.981130375,0.0061448889871227146,0.02495425540649467,5
50,0,0,"No DP, no chunk (baseline)",0.46502,0.013771837422798756,0.0689646822258079,0.9777854166666667,0.0034148798790715465,0.01951043432081363,5
75,0,0,"No DP, no chunk (baseline)",0.48273226666666663,0.005085500556593378,0.048758162450937795,0.9731258666666667,0.0026959729031361935,0.016640988366389085,5
10,1,0,DP only,0.187556,0.011389920105075356,0.016434493778712613,0.57824875,0.12005225731560515,0.1120339403943236,5
25,1,0,DP only,0.1955944,0.011656970652789674,0.01864615171557605,0.51350125,0.10517260972017176,0.06264020091177325,5
50,1,0,DP only,0.21027239999999997,0.011003575546157733,0.012440269013952182,0.5312440104166666,0.08671523548621485,0.05406841460826063,5
75,1,0,DP only,0.22585573333333336,0.012167256511729455,0.008147123535530829,0.5041937666666666,0.08109614399729838,0.054237181152520034,5
10,0,1,Topology-aware chunking,0.34299,0.004034457832224808,0.050819684358185305,0.9943996875,0.0015867114029248818,0.006910209261543158,5
25,0,1,Topology-aware chunking,0.362872,0.0091728220303242,0.06367316102736129,0.952519375,0.014589398702214833,0.0505019492450642,5
50,0,1,Topology-aware chunking,0.41229360000000004,0.003863053559038475,0.05152533181597509,0.8866851041666667,0.010356845642121429,0.07876143409620909,5
75,0,1,Topology-aware chunking,0.44373386666666664,0.005047553387533359,0.04310382651543662,0.8016510333333333,0.00518601314220384,0.075477390103516,5
10,1,1,ChunkDP,0.18974,0.007975854186229822,0.020470085614967992,0.5846271875,0.13312337028418528,0.08465669875373964,5
25,1,1,ChunkDP,0.16975120000000002,0.003629002507576989,0.013307750275222402,0.512602875,0.10442011647909517,0.08436819341510089,5
50,1,1,ChunkDP,0.2377952,0.00835182143008339,0.030490259024257838,0.5515153645833333,0.05953780266793883,0.05809629700444345,5
75,1,1,ChunkDP,0.27836666666666665,0.007378260559839851,0.02174134114132943,0.5417938666666666,0.03802308221739944,0.043074801949295305,5
