dp_noise,dp_max_grad_norm,mean_accuracy,std_accuracy,mean_auc,std_auc,n_runs,n_nodes,privacy_risk,privacy_risk_r,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75,rank_lambda_0_25,rank_lambda_0_50,rank_lambda_0_75
0.1,1.0,0.3111294,0.004824555865569374,0.538102725,0.030916646729603925,5,100,0.07620545000000001,0.07620545000000001,0.2142956875,0.117461975,0.020628262499999994,10,1,6
0.1,1.5,0.3414772,0.005738465970971686,0.561474625,0.02761916226256578,5,100,0.12294925000000001,0.12294925000000001,0.2253705875,0.10926397499999999,-0.006842637500000012,4,8,14
0.1,2.0,0.36091480000000004,0.00703963271058938,0.5720195250000001,0.022176631308795502,5,100,0.14403905000000017,0.14403905000000017,0.2346763375,0.10843787499999993,-0.017800587500000117,1,10,21
0.2,1.0,0.3092476,0.004676165662163811,0.5374271,0.03171284397445991,5,100,0.07485420000000009,0.07485420000000009,0.21322215,0.11719669999999996,0.021171249999999933,13,2,5
0.2,1.5,0.338353,0.006276523918539622,0.5602333749999999,0.028453163683801255,5,100,0.12046674999999984,0.12046674999999984,0.22364806250000002,0.10894312500000009,-0.00576181249999988,5,9,13
0.2,2.0,0.3552474,0.006474490505051336,0.5701164000000001,0.022473444729349437,5,100,0.14023280000000016,0.14023280000000016,0.23137734999999993,0.10750729999999992,-0.01636275000000012,2,12,20
0.3,1.0,0.30659580000000003,0.004481872119996285,0.5374893249999999,0.03133378247652103,5,100,0.07497864999999981,0.07497864999999981,0.21120218750000008,0.11580857500000011,0.020414962500000147,14,3,7
0.3,1.5,0.3336236,0.0062501468222754845,0.5587227,0.027738881904033907,5,100,0.11744540000000003,0.11744540000000003,0.22085634999999998,0.1080891,-0.00467815000000002,7,11,11
0.3,2.0,0.3481108,0.0052502541081361235,0.567798075,0.02368232759104746,5,100,0.13559615000000003,0.13559615000000003,0.2271840625,0.10625732499999999,-0.01466941250000002,3,13,19
0.4,1.0,0.3031362,0.00454862036226374,0.536287875,0.029950038201405065,5,100,0.07257574999999994,0.07257574999999994,0.20920821250000005,0.11528022500000004,0.02135223750000005,16,4,4
0.4,1.5,0.3280316,0.0057443401970983686,0.5580917000000001,0.028014159419362156,5,100,0.11618340000000016,0.11618340000000016,0.21697784999999994,0.10592409999999991,-0.005129650000000124,9,14,12
0.4,2.0,0.3406356,0.005373594914021703,0.565202075,0.024544000136171258,5,100,0.13040414999999994,0.13040414999999994,0.22287566250000002,0.10511572500000002,-0.01264421249999996,6,16,17
0.5,1.0,0.299267,0.004457812355853494,0.5349553499999999,0.030791138246179097,5,100,0.06991069999999988,0.06991069999999988,0.20697257500000005,0.11467815000000006,0.02238372500000009,18,6,3
0.5,1.5,0.32187160000000004,0.005497435292934362,0.55550685,0.02954895313175767,5,100,0.11101369999999999,0.11101369999999999,0.21365027500000003,0.10542895000000002,-0.002792374999999986,11,15,10
0.5,2.0,0.3329114,0.006021002516192811,0.563976225,0.024492627034158165,5,100,0.12795245,0.12795245,0.21769543750000003,0.10247947500000001,-0.01273648749999999,8,19,18
0.6,1.0,0.29482939999999996,0.004440318040411069,0.532617225,0.03209202200294493,5,100,0.06523444999999994,0.06523444999999994,0.20481343749999997,0.11479747500000001,0.024781512500000033,20,5,2
0.6,1.5,0.3153668,0.005831310804613312,0.552853625,0.03216061262036512,5,100,0.10570725000000003,0.10570725000000003,0.21009828749999998,0.10482977499999999,-0.0004387375000000221,15,17,9
0.6,2.0,0.325241,0.006458582971519375,0.561213,0.02686561287120234,5,100,0.12242599999999992,0.12242599999999992,0.21332425000000002,0.10140750000000004,-0.010509249999999942,12,20,16
0.7,1.0,0.29001520000000003,0.004730171318250535,0.53155695,0.03192415248466371,5,100,0.06311390000000006,0.06311390000000006,0.201732925,0.11345064999999999,0.025168374999999965,21,7,1
0.7,1.5,0.3086764,0.005583982163295319,0.550287125,0.03281520350886345,5,100,0.10057424999999998,0.10057424999999998,0.20636373750000003,0.10405107500000002,0.0017384125000000222,19,18,8
0.7,2.0,0.3167856,0.006277571090796186,0.559287475,0.027702724288472504,5,100,0.11857494999999996,0.11857494999999996,0.2079454625,0.09910532500000002,-0.009734812499999967,17,21,15
